"","X","date","PL","plr"
"721",721,2010-03-08,0,0
"722",722,2010-03-09,-29557.529660001,0
"723",723,2010-03-10,0,0
"724",724,2010-03-11,0,0
"725",725,2010-03-12,0,0
"726",726,2010-03-15,0,0
"727",727,2010-03-16,-150354.082031978,0
"728",728,2010-03-17,0,0
"729",729,2010-03-18,0,0
"730",730,2010-03-19,0,0
"731",731,2010-03-22,0,0
"732",732,2010-03-23,-107784.37594,0
"733",733,2010-03-24,0,0
"734",734,2010-03-25,0,0
"735",735,2010-03-26,0,0
"736",736,2010-03-29,0,0
"737",737,2010-03-30,72773.6231000004,0
"738",738,2010-03-31,0,0
"739",739,2010-04-01,0,0
"740",740,2010-04-06,-26310.0356800007,0
"741",741,2010-04-07,0,0
"742",742,2010-04-08,0,0
"743",743,2010-04-09,0,0
"744",744,2010-04-12,0,0
"745",745,2010-04-13,37548.6316600011,0
"746",746,2010-04-14,0,0
"747",747,2010-04-15,0,0
"748",748,2010-04-16,0,0
"749",749,2010-04-19,0,0
"750",750,2010-04-20,130400.25482191,0
"751",751,2010-04-21,0,0
"752",752,2010-04-22,0,0
"753",753,2010-04-23,0,0
"754",754,2010-04-26,0,0
"755",755,2010-04-27,735992.095562257,0
"756",756,2010-04-28,0,0
"757",757,2010-04-29,0,0
"758",758,2010-04-30,0,0
"759",759,2010-05-03,0,0
"760",760,2010-05-04,177588.11861636,0
"761",761,2010-05-05,0,0
"762",762,2010-05-06,0,0
"763",763,2010-05-07,0,0
"764",764,2010-05-10,0,0
"765",765,2010-05-11,-69821.6313000002,0
"766",766,2010-05-12,0,0
"767",767,2010-05-14,0,0
"768",768,2010-05-17,0,0
"769",769,2010-05-18,86489.2668838715,0
"770",770,2010-05-19,0,0
"771",771,2010-05-20,0,0
"772",772,2010-05-21,0,0
"773",773,2010-05-25,36154.7373000002,0
"774",774,2010-05-26,0,0
"775",775,2010-05-27,0,0
"776",776,2010-05-28,0,0
"777",777,2010-06-01,-180532.107824721,0
"778",778,2010-06-02,0,0
"779",779,2010-06-03,0,0
"780",780,2010-06-04,0,0
"781",781,2010-06-07,0,0
"782",782,2010-06-08,-128271.23223219,0
"783",783,2010-06-09,0,0
"784",784,2010-06-10,0,0
"785",785,2010-06-11,0,0
"786",786,2010-06-14,0,0
"787",787,2010-06-15,-2224.39484887515,0
"788",788,2010-06-16,0,0
"789",789,2010-06-17,0,0
"790",790,2010-06-18,0,0
"791",791,2010-06-21,0,0
"792",792,2010-06-22,174383.465611505,0
"793",793,2010-06-23,0,0
"794",794,2010-06-24,0,0
"795",795,2010-06-25,0,0
"796",796,2010-06-28,0,0
"797",797,2010-06-29,-200954.644026593,0
"798",798,2010-06-30,0,0
"799",799,2010-07-01,0,0
"800",800,2010-07-02,0,0
"801",801,2010-07-06,330009.47144,0
"802",802,2010-07-07,0,0
"803",803,2010-07-08,0,0
"804",804,2010-07-09,0,0
"805",805,2010-07-12,0,0
"806",806,2010-07-13,-220907.557363578,0
"807",807,2010-07-14,0,0
"808",808,2010-07-15,0,0
"809",809,2010-07-16,0,0
